"id","code","country_code","level","parent_id","name","english_name","postal_code","is_active","sort_order"
"123","","tw","2","8","北屯區","","406","1","6"
"124","","tw","2","8","西屯區","","407","1","7"
"125","","tw","2","8","南屯區","","408","1","8"
"126","","tw","2","8","太平區","","411","1","9"
"127","","tw","2","8","大里區","","412","1","10"
"128","","tw","2","8","霧峰區","","413","1","11"
"129","","tw","2","8","烏日區","","414","1","12"
"130","","tw","2","8","豐原區","","420","1","13"
"131","","tw","2","8","后里區","","421","1","14"
"132","","tw","2","8","石岡區","","422","1","15"
"133","","tw","2","8","東勢區","","423","1","16"
"134","","tw","2","8","和平區","","424","1","17"
"135","","tw","2","8","新社區","","426","1","18"
"136","","tw","2","8","潭子區","","427","1","19"
"137","","tw","2","8","大雅區","","428","1","20"
"138","","tw","2","8","神岡區","","429","1","21"
"139","","tw","2","8","大肚區","","432","1","22"
"140","","tw","2","8","沙鹿區","","433","1","23"
"141","","tw","2","8","龍井區","","434","1","24"
"142","","tw","2","8","梧棲區","","435","1","25"
"143","","tw","2","8","清水區","","436","1","26"
"144","","tw","2","8","大甲區","","437","1","27"
"145","","tw","2","8","外埔區","","438","1","28"
"146","","tw","2","8","大安區","","439","1","29"
"147","","tw","2","9","彰化市","","500","1","1"
"148","","tw","2","9","芬園鄉","","502","1","2"
"149","","tw","2","9","花壇鄉","","503","1","3"
"150","","tw","2","9","秀水鄉","","504","1","4"
"151","","tw","2","9","鹿港鎮","","505","1","5"
"152","","tw","2","9","福興鄉","","506","1","6"
"153","","tw","2","9","線西鄉","","507","1","7"
"154","","tw","2","9","和美鎮","","508","1","8"
"155","","tw","2","9","伸港鄉","","509","1","9"
"156","","tw","2","9","員林市","","510","1","10"
"157","","tw","2","9","社頭鄉","","511","1","11"
"158","","tw","2","9","永靖鄉","","512","1","12"
"159","","tw","2","9","埔心鄉","","513","1","13"
"160","","tw","2","9","溪湖鎮","","514","1","14"
"161","","tw","2","9","大村鄉","","515","1","15"
"162","","tw","2","9","埔鹽鄉","","516","1","16"
"163","","tw","2","9","田中鎮","","520","1","17"
"164","","tw","2","9","北斗鎮","","521","1","18"
"165","","tw","2","9","田尾鄉","","522","1","19"
"166","","tw","2","9","埤頭鄉","","523","1","20"
"167","","tw","2","9","溪州鄉","","524","1","21"
"168","","tw","2","9","竹塘鄉","","525","1","22"
"169","","tw","2","9","二林鎮","","526","1","23"
"170","","tw","2","9","大城鄉","","527","1","24"
"171","","tw","2","9","芳苑鄉","","528","1","25"
"172","","tw","2","9","二水鄉","","530","1","26"
"173","","tw","2","10","南投市","","540","1","1"
"174","","tw","2","10","中寮鄉","","541","1","2"
"175","","tw","2","10","草屯鎮","","542","1","3"
"176","","tw","2","10","國姓鄉","","544","1","4"
"177","","tw","2","10","埔里鎮","","545","1","5"
"178","","tw","2","10","仁愛鄉","","546","1","6"
"179","","tw","2","10","名間鄉","","551","1","7"
"180","","tw","2","10","集集鎮","","552","1","8"
"181","","tw","2","10","水里鄉","","553","1","9"
"182","","tw","2","10","魚池鄉","","555","1","10"
"183","","tw","2","10","信義鄉","","556","1","11"
"184","","tw","2","10","竹山鎮","","557","1","12"
"185","","tw","2","10","鹿谷鄉","","558","1","13"
"186","","tw","2","11","斗南鎮","","630","1","1"
"187","","tw","2","11","大埤鄉","","631","1","2"
"188","","tw","2","11","虎尾鎮","","632","1","3"
"189","","tw","2","11","土庫鎮","","633","1","4"
"190","","tw","2","11","褒忠鄉","","634","1","5"
"191","","tw","2","11","東勢鄉","","635","1","6"
"192","","tw","2","11","臺西鄉","","636","1","7"
"193","","tw","2","11","崙背鄉","","637","1","8"
"194","","tw","2","11","麥寮鄉","","638","1","9"
"195","","tw","2","11","斗六市","","640","1","10"
"196","","tw","2","11","林內鄉","","643","1","11"
"197","","tw","2","11","古坑鄉","","646","1","12"
"198","","tw","2","11","莿桐鄉","","647","1","13"
"199","","tw","2","11","西螺鎮","","648","1","14"
"200","","tw","2","11","二崙鄉","","649","1","15"
"201","","tw","2","11","北港鎮","","651","1","16"
"202","","tw","2","11","水林鄉","","652","1","17"
"203","","tw","2","11","口湖鄉","","653","1","18"
"204","","tw","2","11","四湖鄉","","654","1","19"
"205","","tw","2","11","元長鄉","","655","1","20"
"206","","tw","2","12","東區","","","1","1"
"207","","tw","2","12","西區","","","1","2"
"208","","tw","2","13","番路鄉","","602","1","1"
"209","","tw","2","13","梅山鄉","","603","1","2"
"210","","tw","2","13","竹崎鄉","","604","1","3"
"211","","tw","2","13","阿里山鄉","","605","1","4"
"212","","tw","2","13","中埔鄉","","606","1","5"
"213","","tw","2","13","大埔鄉","","607","1","6"
"214","","tw","2","13","水上鄉","","608","1","7"
"215","","tw","2","13","鹿草鄉","","611","1","8"
"216","","tw","2","13","太保市","","612","1","9"
"217","","tw","2","13","朴子市","","613","1","10"
"218","","tw","2","13","東石鄉","","614","1","11"
"219","","tw","2","13","六腳鄉","","615","1","12"
"220","","tw","2","13","新港鄉","","616","1","13"
"221","","tw","2","13","民雄鄉","","621","1","14"
"222","","tw","2","13","大林鎮","","622","1","15"
"223","","tw","2","13","溪口鄉","","623","1","16"
"224","","tw","2","13","義竹鄉","","624","1","17"
"225","","tw","2","13","布袋鎮","","625","1","18"
"226","","tw","2","14","中西區","","700","1","1"
"227","","tw","2","14","東區","","701","1","2"
"228","","tw","2","14","南區","","702","1","3"
"229","","tw","2","14","北區","","704","1","4"
"230","","tw","2","14","安平區","","708","1","5"
"231","","tw","2","14","安南區","","709","1","6"
"232","","tw","2","14","永康區","","710","1","7"
"233","","tw","2","14","歸仁區","","711","1","8"
"234","","tw","2","14","新化區","","712","1","9"
"235","","tw","2","14","左鎮區","","713","1","10"
"236","","tw","2","14","玉井區","","714","1","11"
"237","","tw","2","14","楠西區","","715","1","12"
"238","","tw","2","14","南化區","","716","1","13"
"239","","tw","2","14","仁德區","","717","1","14"
"240","","tw","2","14","關廟區","","718","1","15"
"241","","tw","2","14","龍崎區","","719","1","16"
"242","","tw","2","14","官田區","","720","1","17"
"243","","tw","2","14","麻豆區","","721","1","18"
"244","","tw","2","14","佳里區","","722","1","19"
"245","","tw","2","14","西港區","","723","1","20"
"246","","tw","2","14","七股區","","724","1","21"
"247","","tw","2","14","將軍區","","725","1","22"
"248","","tw","2","14","學甲區","","726","1","23"
"249","","tw","2","14","北門區","","727","1","24"
"250","","tw","2","14","新營區","","730","1","25"
"251","","tw","2","14","後壁區","","731","1","26"
"252","","tw","2","14","白河區","","732","1","27"
"253","","tw","2","14","東山區","","733","1","28"
"254","","tw","2","14","六甲區","","734","1","29"
"255","","tw","2","14","下營區","","735","1","30"
"256","","tw","2","14","柳營區","","736","1","31"
"257","","tw","2","14","鹽水區","","737","1","32"
"258","","tw","2","14","善化區","","741","1","33"
"259","","tw","2","14","大內區","","742","1","34"
"260","","tw","2","14","山上區","","743","1","35"
"261","","tw","2","14","新市區","","744","1","36"
"262","","tw","2","14","安定區","","745","1","37"
"263","","tw","2","15","新興區","","800","1","1"
"264","","tw","2","15","前金區","","801","1","2"
"265","","tw","2","15","苓雅區","","802","1","3"
"266","","tw","2","15","鹽埕區","","803","1","4"
"267","","tw","2","15","鼓山區","","804","1","5"
"268","","tw","2","15","旗津區","","805","1","6"
"269","","tw","2","15","前鎮區","","806","1","7"
"270","","tw","2","15","三民區","","807","1","8"
"271","","tw","2","15","楠梓區","","811","1","9"
"272","","tw","2","15","小港區","","812","1","10"
"273","","tw","2","15","左營區","","813","1","11"
"274","","tw","2","15","仁武區","","814","1","12"
"275","","tw","2","15","大社區","","815","1","13"
"276","","tw","2","15","東沙群島","","817","1","14"
"277","","tw","2","15","南沙群島","","819","1","15"
"278","","tw","2","15","岡山區","","820","1","16"
"279","","tw","2","15","路竹區","","821","1","17"
"280","","tw","2","15","阿蓮區","","822","1","18"
"281","","tw","2","15","田寮區","","823","1","19"
